p_partkey,p_brand,p_retailprice,p_partkey_bucket,p_partkey_bucket-p_brand,tpch-2g-parts_rate
394512.0,Brand#11,1117.2402855161426,0.0,0.0-Brand#11,
,Brand#11,1943.473952249661,,nan-Brand#11,
,Brand#11,1939.4376180874547,,nan-Brand#11,
,Brand#11,1527.7761956911982,,nan-Brand#11,
395176.0,Brand#11,1537.6422268151484,4.0,4.0-Brand#11,
394672.0,Brand#11,1529.8427447449558,4.0,4.0-Brand#11,
394704.0,Brand#11,1759.4796000747335,0.0,0.0-Brand#11,
395232.0,Brand#11,1128.161907376063,0.0,0.0-Brand#11,
,Brand#11,1278.3119628592608,,nan-Brand#11,
,Brand#11,1308.2394016832093,,nan-Brand#11,
,Brand#11,1763.9956790359383,,nan-Brand#11,
395160.0,Brand#11,1932.240521870929,0.0,0.0-Brand#11,
393776.0,Brand#11,1944.534633283644,2.0,2.0-Brand#11,
394544.0,Brand#11,1743.5758131075374,2.0,2.0-Brand#11,
,Brand#11,1319.97882326915,,nan-Brand#11,
,Brand#11,1945.2819541015217,,nan-Brand#11,
,Brand#11,1528.1553452414655,,nan-Brand#11,
394128.0,Brand#11,1545.6162195955799,0.0,0.0-Brand#11,
394512.0,Brand#11,1941.1600825019011,0.0,0.0-Brand#11,
393520.0,Brand#11,1535.1307979735911,4.0,4.0-Brand#11,
,Brand#11,1948.3134422548767,,nan-Brand#11,
395184.0,Brand#11,1952.9871151931916,0.0,0.0-Brand#11,
394032.0,Brand#11,1319.0561113002182,0.0,0.0-Brand#11,
393776.0,Brand#11,1319.6636867309205,2.0,2.0-Brand#11,
,Brand#11,1329.1303586799872,,nan-Brand#11,
,Brand#11,1129.8621591925532,,nan-Brand#11,
393264.0,Brand#11,1311.815116530568,0.0,0.0-Brand#11,
393616.0,Brand#11,1735.2821296892737,4.0,4.0-Brand#11,
,Brand#11,1737.681169407101,,nan-Brand#11,
,Brand#11,1757.677018933211,,nan-Brand#11,
,Brand#11,1528.1451696513923,,nan-Brand#11,
393232.0,Brand#11,1322.7408772426068,4.0,4.0-Brand#11,
395024.0,Brand#11,1944.9498857082726,2.0,2.0-Brand#11,
394576.0,Brand#11,1527.3108899781716,4.0,4.0-Brand#11,
395048.0,Brand#11,1943.3595015380988,2.0,2.0-Brand#11,
262192.0,Brand#11,1307.9097811987467,4.0,4.0-Brand#11,
,Brand#11,1307.6094949351004,,nan-Brand#11,
,Brand#11,1325.6003539605572,,nan-Brand#11,
393536.0,Brand#11,1934.0225008421658,2.0,2.0-Brand#11,
,Brand#11,1535.6471780260183,,nan-Brand#11,
,Brand#11,1548.5194738736989,,nan-Brand#11,
394640.0,Brand#11,1528.4422872086345,2.0,2.0-Brand#11,
394720.0,Brand#11,1311.3967636693512,4.0,4.0-Brand#11,
394656.0,Brand#11,1317.812436848203,0.0,0.0-Brand#11,
,Brand#11,1745.5480805732507,,nan-Brand#11,
378240.0,Brand#11,1317.2426741535169,0.0,0.0-Brand#11,
394544.0,Brand#11,1729.6844614442225,2.0,2.0-Brand#11,
394544.0,Brand#11,1299.7308975795816,2.0,2.0-Brand#11,
399248.0,Brand#11,1784.1300727790249,2.0,2.0-Brand#11,
393776.0,Brand#11,1942.0297617557865,2.0,2.0-Brand#11,
394640.0,Brand#11,1304.8856568059655,2.0,2.0-Brand#11,
,Brand#11,1302.5007518458697,,nan-Brand#11,
394512.0,Brand#11,1740.7251898816414,0.0,0.0-Brand#11,
394720.0,Brand#11,1533.2199004203558,4.0,4.0-Brand#11,
,Brand#11,1751.9671218960816,,nan-Brand#11,
,Brand#11,1315.1003918438018,,nan-Brand#11,
393520.0,Brand#11,1298.9715143562983,4.0,4.0-Brand#11,
,Brand#11,1534.1976188341853,,nan-Brand#11,
398608.0,Brand#11,1733.863237154948,4.0,4.0-Brand#11,
398608.0,Brand#11,1747.6327482646986,4.0,4.0-Brand#11,
,Brand#11,1527.6692677240162,,nan-Brand#11,
,Brand#11,1124.3317603858554,,nan-Brand#11,
,Brand#11,1724.8571873589983,,nan-Brand#11,
267912.0,Brand#11,1960.8250872990634,0.0,0.0-Brand#11,
,Brand#11,1962.2285251120395,,nan-Brand#11,
393504.0,Brand#11,1731.4103127545577,0.0,0.0-Brand#11,
284432.0,Brand#11,1326.1389684470519,2.0,2.0-Brand#11,
395152.0,Brand#11,1942.7752918371273,4.0,4.0-Brand#11,
,Brand#11,1746.5435090229234,,nan-Brand#11,
,Brand#11,1770.3667992721012,,nan-Brand#11,
,Brand#11,1748.3620629036077,,nan-Brand#11,
394640.0,Brand#11,1306.522258871986,2.0,2.0-Brand#11,
394528.0,Brand#11,1300.4697127164952,4.0,4.0-Brand#11,
,Brand#11,1747.281072561615,,nan-Brand#11,
,Brand#11,1951.38231874578,,nan-Brand#11,
394040.0,Brand#11,1732.7206791768642,2.0,2.0-Brand#11,
,Brand#11,1947.3121730496428,,nan-Brand#11,
,Brand#11,1537.5120795085559,,nan-Brand#11,
,Brand#11,1303.1207780268987,,nan-Brand#11,
,Brand#11,1300.6226636300742,,nan-Brand#11,
395208.0,Brand#11,1126.6121506111783,0.0,0.0-Brand#11,
393768.0,Brand#11,1948.308667735688,0.0,0.0-Brand#11,
,Brand#11,1121.8458460520787,,nan-Brand#11,
394560.0,Brand#11,1119.667586388305,0.0,0.0-Brand#11,
395024.0,Brand#11,1308.0318877065615,2.0,2.0-Brand#11,
,Brand#11,1729.5183809651803,,nan-Brand#11,
394640.0,Brand#11,1748.4039443610436,2.0,2.0-Brand#11,
393616.0,Brand#11,1521.5868853348784,4.0,4.0-Brand#11,
394000.0,Brand#11,1948.008804583362,4.0,4.0-Brand#11,
395144.0,Brand#11,1121.5796748615232,2.0,2.0-Brand#11,
394752.0,Brand#11,1753.3862425304187,0.0,0.0-Brand#11,
,Brand#12,1307.6552609685602,,nan-Brand#12,
,Brand#12,1300.564218810567,,nan-Brand#12,
,Brand#12,1311.3975860691423,,nan-Brand#12,
,Brand#12,1952.0943244647594,,nan-Brand#12,
,Brand#12,1727.7185664329154,,nan-Brand#12,
,Brand#12,1525.2416383767986,,nan-Brand#12,
,Brand#12,1129.476051963289,,nan-Brand#12,
,Brand#12,1941.3938004693214,,nan-Brand#12,
,Brand#12,1747.8578958872545,,nan-Brand#12,
,Brand#12,1115.8220052889217,,nan-Brand#12,
,Brand#12,1928.9172440553966,,nan-Brand#12,
,Brand#12,1522.8810216582,,nan-Brand#12,
,Brand#12,1963.2035122818183,,nan-Brand#12,
,Brand#12,1737.892486135256,,nan-Brand#12,
394192.0,Brand#12,1740.4529116322053,4.0,4.0-Brand#12,
,Brand#12,1333.942989294852,,nan-Brand#12,
,Brand#12,1124.0380199612953,,nan-Brand#12,
,Brand#12,1299.8167750962377,,nan-Brand#12,
,Brand#12,1713.5332354580753,,nan-Brand#12,
,Brand#12,1328.4342259451162,,nan-Brand#12,
,Brand#12,1119.0287441347252,,nan-Brand#12,
,Brand#12,1294.1357031748685,,nan-Brand#12,
,Brand#12,1749.4587964501595,,nan-Brand#12,
,Brand#12,1129.149423970911,,nan-Brand#12,
,Brand#12,1749.7818606650228,,nan-Brand#12,
,Brand#12,1739.5657230935944,,nan-Brand#12,
,Brand#12,1127.1586879011445,,nan-Brand#12,
,Brand#12,1724.5895428393533,,nan-Brand#12,
,Brand#12,1306.2460061020586,,nan-Brand#12,
,Brand#12,1127.109424336767,,nan-Brand#12,
,Brand#12,1126.5826428968257,,nan-Brand#12,
,Brand#12,1301.124444462952,,nan-Brand#12,
,Brand#12,1528.9681085906384,,nan-Brand#12,
394704.0,Brand#12,1736.982872065966,0.0,0.0-Brand#12,
,Brand#12,1778.3461565709063,,nan-Brand#12,
,Brand#12,1955.9029525846847,,nan-Brand#12,
,Brand#12,1945.5166456506056,,nan-Brand#12,
,Brand#12,1535.2956240663439,,nan-Brand#12,
,Brand#12,1945.5617432607019,,nan-Brand#12,
,Brand#12,1936.6802807246536,,nan-Brand#12,
,Brand#12,1937.1284014530167,,nan-Brand#12,
,Brand#12,1295.36832635384,,nan-Brand#12,
394864.0,Brand#12,1952.6494014271316,4.0,4.0-Brand#12,
,Brand#12,1950.0767970991858,,nan-Brand#12,
,Brand#12,1325.9648903917891,,nan-Brand#12,
,Brand#12,1777.5283534734933,,nan-Brand#12,
,Brand#12,1124.6447119831403,,nan-Brand#12,
,Brand#12,1532.910194912208,,nan-Brand#12,
,Brand#12,1747.689159262482,,nan-Brand#12,
,Brand#12,1311.3256841997427,,nan-Brand#12,
,Brand#12,1306.5892086882604,,nan-Brand#12,
,Brand#12,1301.5277028306848,,nan-Brand#12,
,Brand#12,1271.4813294022304,,nan-Brand#12,
,Brand#12,1944.9374159249053,,nan-Brand#12,
,Brand#12,1949.170376227466,,nan-Brand#12,
,Brand#12,1293.193307677482,,nan-Brand#12,
,Brand#12,1307.9907544762186,,nan-Brand#12,
,Brand#12,1733.1475999091742,,nan-Brand#12,
,Brand#12,1533.0859308555303,,nan-Brand#12,
,Brand#12,1348.5460643304198,,nan-Brand#12,
296400.0,Brand#12,1305.1306701534136,0.0,0.0-Brand#12,
,Brand#12,1948.7968734126814,,nan-Brand#12,
,Brand#12,1297.778872091683,,nan-Brand#12,
,Brand#12,1752.377902759347,,nan-Brand#12,
,Brand#12,1753.4576593528504,,nan-Brand#12,
,Brand#12,1768.7866256838154,,nan-Brand#12,
,Brand#12,1945.2340734953996,,nan-Brand#12,
,Brand#12,1944.826917908202,,nan-Brand#12,
,Brand#12,1307.5018914990949,,nan-Brand#12,
,Brand#12,1943.2910753237322,,nan-Brand#12,
,Brand#12,1730.0606837211724,,nan-Brand#12,
,Brand#12,1310.9023866413913,,nan-Brand#12,
,Brand#12,1313.5625866213895,,nan-Brand#12,
,Brand#12,1546.7559501697206,,nan-Brand#12,
,Brand#12,1739.9253909046238,,nan-Brand#12,
,Brand#12,1752.4282167442477,,nan-Brand#12,
,Brand#12,1735.2373790493048,,nan-Brand#12,
,Brand#12,1937.652309793791,,nan-Brand#12,
,Brand#12,1742.718342127013,,nan-Brand#12,
,Brand#12,1541.4542317816667,,nan-Brand#12,
,Brand#12,1307.1445757086053,,nan-Brand#12,
,Brand#12,1737.2478166848473,,nan-Brand#12,
,Brand#12,1529.0051000775238,,nan-Brand#12,
,Brand#12,1533.5428665851337,,nan-Brand#12,
,Brand#12,1941.87174968529,,nan-Brand#12,
,Brand#12,1743.101499935441,,nan-Brand#12,
,Brand#12,1752.385247866632,,nan-Brand#12,
,Brand#12,1955.5147946809286,,nan-Brand#12,
,Brand#12,1939.0066062474116,,nan-Brand#12,
,Brand#12,1324.3338847637037,,nan-Brand#12,
393552.0,Brand#12,1541.3488353558396,0.0,0.0-Brand#12,
,Brand#12,1529.7217441843873,,nan-Brand#12,
,Brand#12,1744.9672690838904,,nan-Brand#12,
,Brand#12,1520.6913835783905,,nan-Brand#12,
,Brand#12,1934.1333163819054,,nan-Brand#12,
,Brand#12,1716.38877861472,,nan-Brand#12,
,Brand#12,1317.705107055062,,nan-Brand#12,
,Brand#12,1324.0895952457677,,nan-Brand#12,
,Brand#12,1534.7469775885893,,nan-Brand#12,
,Brand#12,1741.5631088177938,,nan-Brand#12,
,Brand#12,1715.987499049413,,nan-Brand#12,
,Brand#12,1717.3472261707234,,nan-Brand#12,
,Brand#12,1126.677019536983,,nan-Brand#12,
,Brand#12,1740.26365891773,,nan-Brand#12,
,Brand#12,1750.5205116238947,,nan-Brand#12,
,Brand#12,1942.407184579235,,nan-Brand#12,
,Brand#12,1116.5725373095947,,nan-Brand#12,
,Brand#12,1946.0183904164862,,nan-Brand#12,
,Brand#12,1122.1719293671567,,nan-Brand#12,
,Brand#12,1729.196740582149,,nan-Brand#12,
,Brand#12,1746.6607122602184,,nan-Brand#12,
,Brand#12,1317.8515324690454,,nan-Brand#12,
,Brand#12,1132.783479997524,,nan-Brand#12,
,Brand#12,1282.4404480621497,,nan-Brand#12,
,Brand#12,1746.4168546983642,,nan-Brand#12,
,Brand#12,1961.578770251312,,nan-Brand#12,
,Brand#12,1954.049757398871,,nan-Brand#12,
393680.0,Brand#12,1325.9995312244962,2.0,2.0-Brand#12,
,Brand#12,1311.40921294848,,nan-Brand#12,
394128.0,Brand#12,1340.5092263682109,0.0,0.0-Brand#12,
393296.0,Brand#12,1731.0019793039928,2.0,2.0-Brand#12,
,Brand#12,1949.568645839098,,nan-Brand#12,
,Brand#12,1518.2323136657049,,nan-Brand#12,
,Brand#12,1746.9137167759882,,nan-Brand#12,
,Brand#12,1944.6140677415187,,nan-Brand#12,
296912.0,Brand#12,1130.4611757836215,2.0,2.0-Brand#12,
,Brand#12,1511.9786001634284,,nan-Brand#12,
,Brand#12,1317.0996266105897,,nan-Brand#12,
,Brand#12,1283.722470766324,,nan-Brand#12,
,Brand#12,1529.0161682117932,,nan-Brand#12,
,Brand#12,1320.245383785367,,nan-Brand#12,
,Brand#12,1302.678344593621,,nan-Brand#12,
,Brand#12,1527.013798801546,,nan-Brand#12,
,Brand#12,1948.540307795002,,nan-Brand#12,
,Brand#12,1941.6823588676568,,nan-Brand#12,
,Brand#12,1121.659523602336,,nan-Brand#12,
,Brand#12,1315.4085872689461,,nan-Brand#12,
,Brand#12,1126.5394754369047,,nan-Brand#12,
,Brand#12,1316.1736221000967,,nan-Brand#12,
,Brand#12,1741.353886592888,,nan-Brand#12,
,Brand#12,1126.0827242753512,,nan-Brand#12,
,Brand#12,1945.5729196046411,,nan-Brand#12,
,Brand#12,1934.8558960849462,,nan-Brand#12,
,Brand#12,1971.2607387138523,,nan-Brand#12,
,Brand#12,1531.0628365397345,,nan-Brand#12,
,Brand#12,1311.573660540356,,nan-Brand#12,
,Brand#12,1729.8416022677873,,nan-Brand#12,
,Brand#12,1310.8089228912409,,nan-Brand#12,
,Brand#12,1523.6279770935803,,nan-Brand#12,
,Brand#12,1523.338188950994,,nan-Brand#12,
,Brand#12,1951.7074600004312,,nan-Brand#12,
,Brand#12,1746.4741407968204,,nan-Brand#12,
,Brand#12,1724.9580559814844,,nan-Brand#12,
394704.0,Brand#12,1299.8713815596534,0.0,0.0-Brand#12,
,Brand#12,1722.0751888822813,,nan-Brand#12,
,Brand#12,1732.0515664431605,,nan-Brand#12,
,Brand#12,1299.790581147969,,nan-Brand#12,
,Brand#12,1525.4782197468062,,nan-Brand#12,
,Brand#12,1128.8563138497768,,nan-Brand#12,
,Brand#12,1534.2066879039494,,nan-Brand#12,
393680.0,Brand#12,1729.1257182723157,2.0,2.0-Brand#12,
,Brand#12,1290.0683389010042,,nan-Brand#12,
,Brand#12,1309.3612697518413,,nan-Brand#12,
,Brand#12,1119.409908833728,,nan-Brand#12,
,Brand#12,1126.2559506848534,,nan-Brand#12,
,Brand#12,1539.5514448024578,,nan-Brand#12,
,Brand#12,1541.6565271435843,,nan-Brand#12,
,Brand#12,1309.3426223147158,,nan-Brand#12,
,Brand#12,1742.5438843522697,,nan-Brand#12,
,Brand#12,1319.6316616886047,,nan-Brand#12,
,Brand#12,1525.8332471543379,,nan-Brand#12,
,Brand#12,1556.0979215506225,,nan-Brand#12,
,Brand#12,1323.4588808098495,,nan-Brand#12,
,Brand#12,1325.3984084690787,,nan-Brand#12,
,Brand#12,1543.2007253320155,,nan-Brand#12,
,Brand#12,1543.7839831787992,,nan-Brand#12,
,Brand#12,1727.1611947302592,,nan-Brand#12,
,Brand#12,1119.2465175361756,,nan-Brand#12,
,Brand#12,1322.0243566431448,,nan-Brand#12,
,Brand#12,1525.184366058078,,nan-Brand#12,
,Brand#12,1126.2635642745392,,nan-Brand#12,
,Brand#12,1731.3734007212693,,nan-Brand#12,
,Brand#12,1722.557722262335,,nan-Brand#12,
,Brand#12,1526.8404195266432,,nan-Brand#12,
,Brand#12,1965.4208503570244,,nan-Brand#12,
,Brand#12,1741.8440720827575,,nan-Brand#12,
,Brand#12,1126.0665837506378,,nan-Brand#12,
393552.0,Brand#12,1528.207086424231,0.0,0.0-Brand#12,
,Brand#12,1515.5969809301591,,nan-Brand#12,
,Brand#12,1121.2079623354075,,nan-Brand#12,
,Brand#12,1724.4268809912992,,nan-Brand#12,
,Brand#12,1735.8505879132379,,nan-Brand#12,
,Brand#12,1121.4214544305676,,nan-Brand#12,
,Brand#12,1306.6072823580898,,nan-Brand#12,
,Brand#12,1526.1778849956836,,nan-Brand#12,
,Brand#12,1531.8855717619965,,nan-Brand#12,
,Brand#12,1303.0572134376719,,nan-Brand#12,
,Brand#12,1538.732505457812,,nan-Brand#12,
,Brand#12,1966.3742739770596,,nan-Brand#12,
,Brand#12,1745.8484667693722,,nan-Brand#12,
,Brand#13,1540.671290254013,,nan-Brand#13,
,Brand#13,1316.4161108714418,,nan-Brand#13,
,Brand#13,1957.7747415459596,,nan-Brand#13,
,Brand#13,1938.447536899801,,nan-Brand#13,
,Brand#13,1743.9980104481024,,nan-Brand#13,
,Brand#13,1742.2155996597876,,nan-Brand#13,
,Brand#13,1937.938024493167,,nan-Brand#13,
,Brand#13,1521.696891040668,,nan-Brand#13,
,Brand#13,1745.8837663220772,,nan-Brand#13,
,Brand#13,1936.3153393582136,,nan-Brand#13,
,Brand#13,1744.6289479909074,,nan-Brand#13,
,Brand#13,1734.4882785276475,,nan-Brand#13,
,Brand#13,1745.274851189805,,nan-Brand#13,
,Brand#13,1739.112532843307,,nan-Brand#13,
,Brand#13,1317.0478904548531,,nan-Brand#13,
,Brand#13,1266.8539447081291,,nan-Brand#13,
,Brand#13,1129.9312356910395,,nan-Brand#13,
,Brand#13,1945.241007638182,,nan-Brand#13,
,Brand#13,1730.3701602048545,,nan-Brand#13,
,Brand#13,1956.022630752708,,nan-Brand#13,
,Brand#13,1322.0813008404928,,nan-Brand#13,
,Brand#13,1303.9547031847433,,nan-Brand#13,
,Brand#13,1742.2248312545878,,nan-Brand#13,
,Brand#13,1531.218485109077,,nan-Brand#13,
,Brand#13,1126.1071419922255,,nan-Brand#13,
,Brand#13,1745.1046025058379,,nan-Brand#13,
,Brand#13,1302.3580338513382,,nan-Brand#13,
,Brand#13,1298.548985499004,,nan-Brand#13,
,Brand#13,1131.044565606731,,nan-Brand#13,
,Brand#13,1538.5146044955636,,nan-Brand#13,
,Brand#13,1316.4794282993716,,nan-Brand#13,
,Brand#13,1528.5264794810441,,nan-Brand#13,
,Brand#13,1535.803562321447,,nan-Brand#13,
,Brand#13,1535.5598083548934,,nan-Brand#13,
,Brand#13,1712.5840460368106,,nan-Brand#13,
,Brand#13,1944.7009079572742,,nan-Brand#13,
,Brand#13,1302.0583316533755,,nan-Brand#13,
,Brand#13,1957.8828861566276,,nan-Brand#13,
,Brand#13,1743.372373720027,,nan-Brand#13,
,Brand#13,1731.9367001550386,,nan-Brand#13,
,Brand#13,1950.8686248409226,,nan-Brand#13,
,Brand#13,1311.6393171734167,,nan-Brand#13,
,Brand#13,1939.7545457682647,,nan-Brand#13,
,Brand#13,1937.8716575090814,,nan-Brand#13,
,Brand#13,1729.9332360676428,,nan-Brand#13,
,Brand#13,1123.813886441501,,nan-Brand#13,
,Brand#13,1126.2335451819356,,nan-Brand#13,
,Brand#13,1334.0242435711793,,nan-Brand#13,
,Brand#13,1312.2745790829567,,nan-Brand#13,
,Brand#13,1289.5640905009532,,nan-Brand#13,
,Brand#13,1324.949904872047,,nan-Brand#13,
,Brand#13,1959.060032772618,,nan-Brand#13,
,Brand#13,1530.8552328115136,,nan-Brand#13,
,Brand#13,1741.927140655456,,nan-Brand#13,
,Brand#13,1957.9732354688822,,nan-Brand#13,
,Brand#13,1321.7092230473115,,nan-Brand#13,
,Brand#13,1940.2845244023838,,nan-Brand#13,
,Brand#13,1958.7386340872865,,nan-Brand#13,
,Brand#13,1947.459123177882,,nan-Brand#13,
,Brand#13,1734.5977392758768,,nan-Brand#13,
,Brand#13,1947.8993571943531,,nan-Brand#13,
,Brand#13,1536.2819982536103,,nan-Brand#13,
,Brand#13,1945.7054457820018,,nan-Brand#13,
,Brand#13,1946.4207434677567,,nan-Brand#13,
,Brand#13,1122.0682408858188,,nan-Brand#13,
,Brand#13,1313.4862991101695,,nan-Brand#13,
,Brand#13,1524.327945719549,,nan-Brand#13,
,Brand#13,1325.8839950878214,,nan-Brand#13,
,Brand#13,1122.6787908403317,,nan-Brand#13,
,Brand#13,1535.6729577508327,,nan-Brand#13,
,Brand#13,1754.847703691397,,nan-Brand#13,
,Brand#13,1527.9208787175583,,nan-Brand#13,
,Brand#13,1968.8535078544478,,nan-Brand#13,
,Brand#13,1931.8254258730906,,nan-Brand#13,
,Brand#13,1530.1613712982967,,nan-Brand#13,
,Brand#13,1940.2290185739291,,nan-Brand#13,
,Brand#13,1322.4326700478769,,nan-Brand#13,
,Brand#13,1113.3225358637303,,nan-Brand#13,
,Brand#13,1127.57891000603,,nan-Brand#13,
,Brand#13,1730.1250674599198,,nan-Brand#13,
,Brand#13,1962.4341446254575,,nan-Brand#13,
300408.0,Brand#13,1124.9680956967518,0.0,0.0-Brand#13,
,Brand#13,1741.8651275787768,,nan-Brand#13,
