a_origin_state_abr,a_unique_carrier,a_taxi_out,a_air_time,a_distance,a_origin_state_abr-a_unique_carrier,flights2-flight-a_rate
AK,AA,16.528625,1216.5686,752.73016,AK-AA,0.1480082417582418
AK,AA,16.758194,1216.9922,757.8568,AK-AA,0.1480082417582418
AK,AA,16.40902,1216.4738,751.31335,AK-AA,0.1480082417582418
AK,AA,16.422709,1216.8218,754.7558,AK-AA,0.1480082417582418
AK,AA,16.49322,1217.2487,754.556,AK-AA,0.1480082417582418
AK,AA,16.678137,1216.4501,752.818,AK-AA,0.1480082417582418
AK,AA,16.618479,1216.0901,751.92334,AK-AA,0.1480082417582418
AK,AA,16.637678,1215.5902,748.73364,AK-AA,0.1480082417582418
AK,AA,16.59198,1214.5372,743.99286,AK-AA,0.1480082417582418
AK,AA,16.522276,1217.5857,755.7403,AK-AA,0.1480082417582418
AK,AA,16.465055,1217.589,760.16125,AK-AA,0.1480082417582418
AK,AA,16.822634,1216.841,756.96796,AK-AA,0.1480082417582418
AK,AA,16.601967,1216.7191,756.80975,AK-AA,0.1480082417582418
AK,AA,16.745808,1215.8853,748.7515,AK-AA,0.1480082417582418
AK,9E,17.924448,1209.4779,721.68555,AK-9E,1.0
AK,9E,17.873549,1209.0564,720.5441,AK-9E,1.0
AK,AS,18.095686,1206.569,691.1084,AK-AS,0.6304675716440423
AK,HA,17.937605,1205.1654,682.6244,AK-HA,1.0
AK,HA,18.04576,1204.8529,682.2627,AK-HA,1.0
AK,AS,17.831089,1204.9937,683.26166,AK-AS,0.6304675716440423
AK,AS,18.069277,1205.0837,685.0218,AK-AS,0.6304675716440423
AK,AS,17.85705,1206.5342,690.78687,AK-AS,0.6304675716440423
AK,AS,18.00402,1206.57,691.2939,AK-AS,0.6304675716440423
AK,F9,18.085653,1206.388,690.14984,AK-F9,1.0
AK,HA,17.959002,1205.9556,689.19025,AK-HA,1.0
AK,AS,17.834713,1204.6082,683.35236,AK-AS,0.6304675716440423
AK,AS,17.889406,1206.3727,688.911,AK-AS,0.6304675716440423
AK,HA,17.966743,1206.3337,684.481,AK-HA,1.0
AK,AS,17.922697,1207.1335,691.8706,AK-AS,0.6304675716440423
AK,AS,17.99775,1207.4907,695.59875,AK-AS,0.6304675716440423
AK,AS,17.865194,1206.4196,687.9189,AK-AS,0.6304675716440423
AK,AA,18.05703,1206.4852,688.63135,AK-AA,0.1480082417582418
AK,AS,18.05362,1206.3552,690.08026,AK-AS,0.6304675716440423
AK,AS,17.91465,1206.3804,691.564,AK-AS,0.6304675716440423
AK,AS,17.910097,1206.1376,688.626,AK-AS,0.6304675716440423
AK,AS,17.99863,1206.5082,689.1862,AK-AS,0.6304675716440423
AK,AS,17.975557,1206.0039,689.4906,AK-AS,0.6304675716440423
AK,AS,17.94064,1205.756,687.2908,AK-AS,0.6304675716440423
AK,HA,17.80624,1206.1036,687.73096,AK-HA,1.0
AK,AS,18.009039,1205.9052,687.1517,AK-AS,0.6304675716440423
AK,AS,17.97679,1206.4829,690.6111,AK-AS,0.6304675716440423
AK,AS,17.958656,1207.3667,694.76294,AK-AS,0.6304675716440423
AK,AS,17.890308,1205.3994,685.22174,AK-AS,0.6304675716440423
AK,AS,18.057999,1207.6216,694.7039,AK-AS,0.6304675716440423
AK,AS,17.81613,1207.3912,691.191,AK-AS,0.6304675716440423
AK,AS,17.819736,1204.9739,683.61176,AK-AS,0.6304675716440423
AK,AS,17.956888,1206.7225,692.06537,AK-AS,0.6304675716440423
AK,AA,17.903168,1205.8643,687.33563,AK-AA,0.1480082417582418
AK,B6,19.501377,1196.7593,714.0615,AK-B6,1.0
AK,B6,19.450392,1196.8407,716.73413,AK-B6,1.0
AK,B6,19.59867,1196.1869,710.8616,AK-B6,1.0
AK,B6,19.659094,1197.2223,721.64856,AK-B6,1.0
AK,B6,19.482643,1195.9291,709.8934,AK-B6,1.0
AK,B6,19.534517,1197.5142,719.79846,AK-B6,1.0
AK,B6,19.313545,1195.9033,710.83057,AK-B6,1.0
AK,B6,19.603516,1196.5952,716.3606,AK-B6,1.0
AK,B6,19.56558,1196.806,714.1155,AK-B6,1.0
AK,CO,19.542986,1197.0426,718.0974,AK-CO,0.38739573679332723
AK,B6,19.674917,1195.4978,708.81604,AK-B6,1.0
AK,B6,19.6194,1197.2067,716.7575,AK-B6,1.0
AK,B6,19.656982,1196.0723,710.9559,AK-B6,1.0
AK,B6,19.805334,1198.3188,725.781,AK-B6,1.0
AK,B6,19.527126,1195.2177,704.0739,AK-B6,1.0
AK,B6,19.581053,1197.2468,720.1029,AK-B6,1.0
AK,B6,19.57494,1195.9348,711.00977,AK-B6,1.0
AK,B6,19.703722,1196.7114,716.3816,AK-B6,1.0
AK,B6,19.530396,1196.4037,714.55566,AK-B6,1.0
AK,B6,19.439878,1195.595,711.4596,AK-B6,1.0
AK,B6,19.548777,1196.8341,713.3583,AK-B6,1.0
AK,B6,19.607786,1197.3765,719.77686,AK-B6,1.0
AK,B6,19.547237,1197.1382,717.29913,AK-B6,1.0
AK,B6,19.658512,1196.9623,715.55286,AK-B6,1.0
AK,B6,19.527958,1196.7618,715.66327,AK-B6,1.0
AK,B6,19.368925,1197.7075,718.58813,AK-B6,1.0
AK,CO,19.58472,1200.175,719.1095,AK-CO,0.38739573679332723
AK,CO,19.42656,1199.7883,714.3703,AK-CO,0.38739573679332723
AK,CO,19.42249,1199.9188,716.60693,AK-CO,0.38739573679332723
AK,CO,19.645517,1200.0092,715.4042,AK-CO,0.38739573679332723
AK,CO,19.52099,1200.5067,719.90533,AK-CO,0.38739573679332723
AK,CO,19.412376,1200.2213,717.69635,AK-CO,0.38739573679332723
AK,CO,19.383919,1200.2645,717.94696,AK-CO,0.38739573679332723
AK,CO,19.579304,1200.1274,721.0492,AK-CO,0.38739573679332723
AK,CO,19.594002,1200.2559,721.3006,AK-CO,0.38739573679332723
AK,CO,19.576986,1199.8043,714.3671,AK-CO,0.38739573679332723
AK,CO,19.321856,1201.0121,720.141,AK-CO,0.38739573679332723
AK,CO,19.406958,1199.2599,711.266,AK-CO,0.38739573679332723
AK,CO,19.302332,1200.4556,716.30554,AK-CO,0.38739573679332723
AK,CO,19.430029,1200.216,717.21606,AK-CO,0.38739573679332723
AK,CO,19.621525,1200.571,721.8461,AK-CO,0.38739573679332723
AK,CO,19.46987,1200.5131,722.2953,AK-CO,0.38739573679332723
AK,CO,19.575539,1200.6367,722.76013,AK-CO,0.38739573679332723
AK,CO,19.546446,1200.1223,718.71136,AK-CO,0.38739573679332723
AK,CO,19.388603,1200.2872,719.047,AK-CO,0.38739573679332723
AK,CO,19.679888,1199.7657,716.3639,AK-CO,0.38739573679332723
AK,CO,19.486708,1200.122,715.9656,AK-CO,0.38739573679332723
AK,CO,19.48512,1199.7101,717.0061,AK-CO,0.38739573679332723
AK,CO,19.52767,1201.2401,726.107,AK-CO,0.38739573679332723
AK,CO,19.459686,1200.4565,719.7547,AK-CO,0.38739573679332723
AK,CO,19.457094,1200.1604,718.9677,AK-CO,0.38739573679332723
AK,CO,19.419765,1199.0033,711.36035,AK-CO,0.38739573679332723
AK,CO,19.47152,1200.4276,718.9584,AK-CO,0.38739573679332723
AK,CO,19.539633,1199.9332,717.6655,AK-CO,0.38739573679332723
AK,CO,19.553972,1200.6993,722.1618,AK-CO,0.38739573679332723
AK,CO,19.460718,1199.9489,718.74365,AK-CO,0.38739573679332723
AK,CO,19.491255,1199.8721,713.9638,AK-CO,0.38739573679332723
AK,CO,19.545393,1199.411,714.0418,AK-CO,0.38739573679332723
AK,DH,21.227648,1187.7194,670.8781,AK-DH,1.0
AK,B6,21.21118,1188.2906,674.00366,AK-B6,1.0
AK,DH,21.197752,1188.8158,675.007,AK-DH,1.0
AK,DH,21.159739,1188.8091,676.4583,AK-DH,1.0
AK,B6,21.161472,1187.9724,671.07056,AK-B6,1.0
AK,DH,21.184732,1189.7008,682.4026,AK-DH,1.0
AK,DH,21.503998,1188.968,675.73755,AK-DH,1.0
AK,B6,21.267134,1188.5231,673.2071,AK-B6,1.0
AK,DL,21.581884,1186.8806,646.03143,AK-DL,0.13979933110367895
AK,DL,21.610432,1186.8734,640.56537,AK-DL,0.13979933110367895
AK,DL,21.475613,1187.4355,644.96716,AK-DL,0.13979933110367895
AK,DL,21.713076,1186.8826,642.65155,AK-DL,0.13979933110367895
AK,DL,21.649433,1186.2501,641.8815,AK-DL,0.13979933110367895
AK,DL,21.565939,1187.616,647.60785,AK-DL,0.13979933110367895
AK,DL,21.677713,1186.7953,644.6434,AK-DL,0.13979933110367895
AK,DL,21.563087,1187.7001,648.2243,AK-DL,0.13979933110367895
AK,DL,21.588886,1187.2163,646.1002,AK-DL,0.13979933110367895
AK,DL,21.555597,1187.0374,644.78644,AK-DL,0.13979933110367895
AK,DL,21.515099,1187.5007,648.8861,AK-DL,0.13979933110367895
AK,DL,21.588896,1187.1434,649.2386,AK-DL,0.13979933110367895
AK,DL,21.553131,1186.4353,642.5742,AK-DL,0.13979933110367895
AK,DL,21.597853,1187.3223,647.8008,AK-DL,0.13979933110367895
AK,DL,21.459455,1187.736,649.2519,AK-DL,0.13979933110367895
AK,DL,21.602898,1187.2369,647.6376,AK-DL,0.13979933110367895
AK,DL,21.660662,1187.1108,645.97174,AK-DL,0.13979933110367895
AK,DL,21.570717,1186.7969,642.40454,AK-DL,0.13979933110367895
AK,DL,21.683235,1187.2754,646.7017,AK-DL,0.13979933110367895
AK,DL,21.51149,1187.6093,647.6723,AK-DL,0.13979933110367895
AK,DL,21.719786,1187.0946,646.5298,AK-DL,0.13979933110367895
AK,DL,21.573725,1186.4594,641.9116,AK-DL,0.13979933110367895
AK,DL,21.715929,1187.4681,646.54626,AK-DL,0.13979933110367895
AK,DL,21.585299,1186.654,642.9801,AK-DL,0.13979933110367895
AK,DL,21.509148,1186.8011,644.45807,AK-DL,0.13979933110367895
AK,DL,21.688623,1186.9885,644.83276,AK-DL,0.13979933110367895
AK,DL,21.503044,1186.911,644.4273,AK-DL,0.13979933110367895
AK,DL,21.548893,1187.7146,649.59045,AK-DL,0.13979933110367895
AK,DL,21.616156,1186.3107,637.9251,AK-DL,0.13979933110367895
AK,DL,21.745283,1186.8278,647.2106,AK-DL,0.13979933110367895
AK,DL,21.546532,1186.3013,640.4598,AK-DL,0.13979933110367895
AK,DL,21.695549,1187.0044,647.22797,AK-DL,0.13979933110367895
AK,EV,16.913134,1208.1996,742.4989,AK-EV,0.32188200149365204
AK,EV,16.958395,1208.4104,745.1345,AK-EV,0.32188200149365204
AK,EV,16.927792,1208.4265,744.8424,AK-EV,0.32188200149365204
AK,EV,16.91781,1207.3915,736.2479,AK-EV,0.32188200149365204
AK,EV,16.967316,1207.99,739.6348,AK-EV,0.32188200149365204
AK,EV,16.956892,1208.293,743.3533,AK-EV,0.32188200149365204
AK,EV,16.991316,1208.8417,747.5672,AK-EV,0.32188200149365204
AK,EV,17.151953,1208.2759,743.1501,AK-EV,0.32188200149365204
AK,EV,16.94065,1208.4395,745.4592,AK-EV,0.32188200149365204
AK,EV,17.020563,1208.5891,746.5439,AK-EV,0.32188200149365204
AK,EV,16.995897,1208.7405,744.3309,AK-EV,0.32188200149365204
AK,EV,16.93806,1208.1868,741.55676,AK-EV,0.32188200149365204
AK,EV,16.987595,1208.5876,747.78455,AK-EV,0.32188200149365204
AK,EV,17.057302,1208.5865,747.2725,AK-EV,0.32188200149365204
AK,EV,17.045301,1207.8716,739.92474,AK-EV,0.32188200149365204
AK,EV,17.062641,1208.6017,748.7495,AK-EV,0.32188200149365204
AK,EV,17.012712,1207.9978,740.628,AK-EV,0.32188200149365204
AK,EV,17.08187,1208.1731,741.5046,AK-EV,0.32188200149365204
AK,EV,17.043026,1208.216,744.75995,AK-EV,0.32188200149365204
AK,EV,17.06806,1208.8699,747.7703,AK-EV,0.32188200149365204
AK,EV,16.945715,1208.9393,745.94727,AK-EV,0.32188200149365204
AK,EV,16.995424,1209.1266,748.4635,AK-EV,0.32188200149365204
AK,EV,16.937548,1208.6547,745.23883,AK-EV,0.32188200149365204
AK,9E,17.039862,1208.2872,742.4794,AK-9E,1.0
AK,EV,17.059477,1208.5818,745.78406,AK-EV,0.32188200149365204
AK,EV,16.990562,1208.1183,740.34607,AK-EV,0.32188200149365204
AK,EV,17.025013,1208.2253,741.90845,AK-EV,0.32188200149365204
AK,EV,17.035694,1209.185,747.8672,AK-EV,0.32188200149365204
AK,EV,17.040854,1208.6566,745.4527,AK-EV,0.32188200149365204
AK,EV,16.997252,1208.2705,741.4249,AK-EV,0.32188200149365204
AK,EV,17.001347,1208.331,741.5541,AK-EV,0.32188200149365204
AK,EV,17.12009,1207.7935,741.3314,AK-EV,0.32188200149365204
AK,EV,17.10622,1207.9635,739.7307,AK-EV,0.32188200149365204
AK,F9,17.461943,1213.4026,757.14984,AK-F9,1.0
AK,F9,17.442814,1212.4606,752.612,AK-F9,1.0
AK,F9,17.525244,1212.4989,752.3805,AK-F9,1.0
AK,F9,17.451273,1212.3795,748.50323,AK-F9,1.0
AK,F9,17.598906,1212.1908,750.2381,AK-F9,1.0
AK,F9,17.468954,1212.391,750.86847,AK-F9,1.0
AK,F9,17.37607,1212.7267,751.9403,AK-F9,1.0
AK,F9,17.657207,1212.3235,751.9954,AK-F9,1.0
AK,F9,17.507318,1211.7205,745.00256,AK-F9,1.0
AK,F9,17.58472,1212.6632,752.6784,AK-F9,1.0
AK,F9,17.510174,1212.2208,751.26056,AK-F9,1.0
AK,F9,17.511898,1212.2456,751.91614,AK-F9,1.0
AK,F9,17.463806,1212.9612,754.365,AK-F9,1.0
AK,F9,17.462355,1212.3042,753.13715,AK-F9,1.0
AK,F9,17.408623,1211.5566,746.1074,AK-F9,1.0
AK,F9,17.579012,1212.4464,750.90625,AK-F9,1.0
AK,F9,17.439898,1212.643,752.5823,AK-F9,1.0
AK,F9,17.354425,1213.4255,757.46857,AK-F9,1.0
AK,F9,17.45541,1211.6664,746.9444,AK-F9,1.0
AK,F9,17.489208,1212.3453,750.9538,AK-F9,1.0
AK,FL,18.6025,1200.8427,715.4958,AK-FL,0.7988165680473374
AK,FL,18.557943,1200.6757,713.25073,AK-FL,0.7988165680473374
AK,FL,18.536829,1200.8931,715.7551,AK-FL,0.7988165680473374
AK,FL,18.685564,1200.5793,712.90094,AK-FL,0.7988165680473374
AK,FL,18.638784,1200.4594,712.9903,AK-FL,0.7988165680473374
AK,FL,18.543558,1200.1862,711.3575,AK-FL,0.7988165680473374
AK,FL,18.485567,1200.7445,715.598,AK-FL,0.7988165680473374
AK,FL,18.561008,1200.5063,710.6323,AK-FL,0.7988165680473374
AK,FL,18.487787,1201.2855,718.15717,AK-FL,0.7988165680473374
AK,FL,18.562023,1200.8661,714.74554,AK-FL,0.7988165680473374
AK,FL,18.6407,1201.2428,717.83826,AK-FL,0.7988165680473374
AK,FL,18.639116,1200.855,713.46674,AK-FL,0.7988165680473374
AK,FL,18.515741,1200.532,713.5222,AK-FL,0.7988165680473374
AK,FL,18.581415,1200.7236,715.94147,AK-FL,0.7988165680473374
AK,FL,18.48468,1200.1344,709.81494,AK-FL,0.7988165680473374
AK,FL,18.59067,1200.826,715.7166,AK-FL,0.7988165680473374
AK,FL,18.482788,1200.7236,713.81384,AK-FL,0.7988165680473374
AK,FL,18.568848,1200.7716,714.2081,AK-FL,0.7988165680473374
AK,FL,18.473505,1200.7336,712.9775,AK-FL,0.7988165680473374
AK,FL,18.594189,1201.8951,723.20105,AK-FL,0.7988165680473374
AK,FL,18.585941,1200.4299,711.3745,AK-FL,0.7988165680473374
AK,FL,18.582716,1200.8461,716.50195,AK-FL,0.7988165680473374
AK,FL,18.418823,1201.3314,717.209,AK-FL,0.7988165680473374
AK,FL,18.625393,1200.5659,713.4885,AK-FL,0.7988165680473374
AK,FL,18.571032,1200.8085,714.82654,AK-FL,0.7988165680473374
AK,FL,18.465317,1201.0863,716.87024,AK-FL,0.7988165680473374
AK,FL,18.494928,1201.1251,716.5807,AK-FL,0.7988165680473374
AK,FL,18.468338,1201.6455,717.91547,AK-FL,0.7988165680473374
AK,FL,18.607409,1201.2723,717.6235,AK-FL,0.7988165680473374
AK,FL,18.601875,1200.7849,714.5855,AK-FL,0.7988165680473374
AK,FL,18.628057,1200.7175,715.88684,AK-FL,0.7988165680473374
AK,HA,19.4282,1200.6736,690.84564,AK-HA,1.0
AK,HA,19.345581,1201.1544,693.6577,AK-HA,1.0
AK,HA,19.317142,1201.0153,692.67224,AK-HA,1.0
AK,HA,19.451971,1200.8965,692.0942,AK-HA,1.0
AK,HA,19.472963,1200.6841,691.38635,AK-HA,1.0
AK,HA,19.460371,1201.3247,695.94135,AK-HA,1.0
AK,HA,19.37816,1200.9332,691.07513,AK-HA,1.0
AK,HA,19.45357,1200.436,690.5732,AK-HA,1.0
AK,HA,19.373013,1200.2147,688.75287,AK-HA,1.0
AK,HA,19.377018,1201.5441,697.8928,AK-HA,1.0
AK,HA,19.500896,1200.4697,690.1848,AK-HA,1.0
AK,HA,19.645864,1200.7141,689.55176,AK-HA,1.0
AK,HA,19.30627,1200.8594,693.05304,AK-HA,1.0
AK,HA,19.32956,1200.6978,690.84705,AK-HA,1.0
AK,HA,19.42649,1201.0077,693.0478,AK-HA,1.0
AK,HP,20.11971,1203.5112,781.4435,AK-HP,0.7354596622889307
AK,HP,20.128065,1203.2561,779.1679,AK-HP,0.7354596622889307
AK,HP,20.168997,1202.8608,777.7406,AK-HP,0.7354596622889307
AK,HP,20.266876,1202.472,775.7966,AK-HP,0.7354596622889307
AK,HP,20.24608,1203.1459,779.7011,AK-HP,0.7354596622889307
AK,HP,20.197437,1202.7909,776.04144,AK-HP,0.7354596622889307
AK,HP,20.189213,1202.9521,777.9956,AK-HP,0.7354596622889307
AK,HP,20.100998,1203.4471,779.3999,AK-HP,0.7354596622889307
AK,HP,20.127275,1204.4573,788.0792,AK-HP,0.7354596622889307
AK,HP,20.055655,1202.7711,776.1125,AK-HP,0.7354596622889307
AK,HP,20.079683,1203.1577,779.7594,AK-HP,0.7354596622889307
AK,HP,20.19187,1202.673,776.7818,AK-HP,0.7354596622889307
AK,HP,20.185616,1203.3141,777.1358,AK-HP,0.7354596622889307
AK,HP,20.175856,1203.9877,785.3671,AK-HP,0.7354596622889307
AK,HP,20.304815,1203.2319,778.7987,AK-HP,0.7354596622889307
AK,HP,20.264425,1202.9619,778.69934,AK-HP,0.7354596622889307
AK,HP,20.04076,1203.472,778.3312,AK-HP,0.7354596622889307
AK,HP,20.085567,1203.4248,777.43677,AK-HP,0.7354596622889307
AK,HP,20.107157,1202.489,772.0888,AK-HP,0.7354596622889307
AK,HP,20.171375,1203.3167,778.1915,AK-HP,0.7354596622889307
AK,HP,20.025354,1203.546,781.25543,AK-HP,0.7354596622889307
AK,HP,20.154364,1203.0956,779.32135,AK-HP,0.7354596622889307
AK,HP,20.20959,1203.1536,777.2724,AK-HP,0.7354596622889307
AK,HP,20.126492,1202.8438,776.49133,AK-HP,0.7354596622889307
AK,HP,20.192091,1202.7562,773.3612,AK-HP,0.7354596622889307
AK,HP,20.251041,1202.4988,773.4029,AK-HP,0.7354596622889307
AK,HP,20.1828,1202.8499,775.2327,AK-HP,0.7354596622889307
AK,HP,20.354382,1202.791,776.78546,AK-HP,0.7354596622889307
AK,HP,20.13305,1202.8512,776.22235,AK-HP,0.7354596622889307
AK,HP,20.23224,1203.5441,782.23096,AK-HP,0.7354596622889307
AK,MQ,20.524126,1208.1437,790.0108,AK-MQ,0.37912087912087916
AK,MQ,20.479025,1207.028,784.22894,AK-MQ,0.37912087912087916
AK,MQ,20.511028,1207.9094,789.5414,AK-MQ,0.37912087912087916
AK,MQ,20.394356,1207.6323,788.0828,AK-MQ,0.37912087912087916
AK,MQ,20.506336,1207.5863,788.40607,AK-MQ,0.37912087912087916
AK,MQ,20.5022,1207.3727,786.33215,AK-MQ,0.37912087912087916
AK,MQ,20.434185,1208.1298,790.8074,AK-MQ,0.37912087912087916
AK,MQ,20.553154,1207.7158,787.62616,AK-MQ,0.37912087912087916
AK,MQ,20.466427,1207.9357,789.6364,AK-MQ,0.37912087912087916
AK,MQ,20.55941,1206.9619,783.7293,AK-MQ,0.37912087912087916
AK,MQ,20.414349,1207.1257,785.37006,AK-MQ,0.37912087912087916
AK,MQ,20.544958,1208.2524,790.91583,AK-MQ,0.37912087912087916
AK,MQ,20.460384,1206.667,782.06696,AK-MQ,0.37912087912087916
AK,MQ,20.426544,1207.8096,789.9081,AK-MQ,0.37912087912087916
AK,MQ,20.419117,1208.5608,792.83405,AK-MQ,0.37912087912087916
AK,MQ,20.489998,1208.0011,791.42737,AK-MQ,0.37912087912087916
AK,MQ,20.512032,1207.3207,785.14734,AK-MQ,0.37912087912087916
AK,MQ,20.349348,1207.48,786.3636,AK-MQ,0.37912087912087916
AK,MQ,20.460878,1208.434,792.2416,AK-MQ,0.37912087912087916
AK,MQ,20.482908,1206.7516,784.5721,AK-MQ,0.37912087912087916
AK,MQ,20.53623,1206.9567,782.5547,AK-MQ,0.37912087912087916
AK,MQ,20.350996,1207.9586,787.16046,AK-MQ,0.37912087912087916
AK,MQ,20.51255,1207.102,784.5515,AK-MQ,0.37912087912087916
AK,MQ,20.488008,1207.878,787.4152,AK-MQ,0.37912087912087916
AK,MQ,20.40396,1207.8011,787.6512,AK-MQ,0.37912087912087916
AK,MQ,20.593723,1207.139,784.09485,AK-MQ,0.37912087912087916
AK,MQ,20.477528,1207.2336,785.3686,AK-MQ,0.37912087912087916
AK,MQ,20.527285,1206.3893,782.83307,AK-MQ,0.37912087912087916
AK,MQ,20.413116,1207.1097,783.72046,AK-MQ,0.37912087912087916
AK,MQ,20.539238,1207.7434,787.77454,AK-MQ,0.37912087912087916
AK,MQ,20.526258,1208.0062,790.7617,AK-MQ,0.37912087912087916
AK,MQ,20.41875,1207.9097,791.2955,AK-MQ,0.37912087912087916
AK,MQ,20.47756,1206.7739,782.65027,AK-MQ,0.37912087912087916
AK,MQ,20.519962,1208.2924,792.1306,AK-MQ,0.37912087912087916
AK,MQ,20.451029,1207.2319,785.4451,AK-MQ,0.37912087912087916
AK,MQ,20.346771,1207.0647,784.4176,AK-MQ,0.37912087912087916
AK,MQ,20.50554,1208.066,790.30133,AK-MQ,0.37912087912087916
AK,NK,21.76751,1193.9298,768.306,AK-NK,1.0
AK,NK,21.864399,1193.338,768.059,AK-NK,1.0
AK,NK,21.823158,1193.1749,761.24756,AK-NK,1.0
AK,NK,21.802637,1192.8529,762.29205,AK-NK,1.0
AK,NK,21.733334,1193.5422,767.44086,AK-NK,1.0
AK,NK,21.788513,1193.4656,764.6541,AK-NK,1.0
AK,NK,21.868547,1193.0265,763.541,AK-NK,1.0
AK,NK,21.917786,1193.6656,768.86694,AK-NK,1.0
AK,NW,22.240826,1195.4116,745.5963,AK-NW,0.28454731109598375
AK,NW,22.297848,1195.5642,745.7579,AK-NW,0.28454731109598375
AK,NW,22.216661,1195.6633,746.5334,AK-NW,0.28454731109598375
AK,NW,22.207787,1195.288,744.5176,AK-NW,0.28454731109598375
AK,NW,22.239033,1195.7416,749.30225,AK-NW,0.28454731109598375
AK,NW,22.300928,1195.2389,743.41943,AK-NW,0.28454731109598375
AK,NW,22.345903,1195.7849,747.5179,AK-NW,0.28454731109598375
AK,NW,22.211216,1195.9672,749.86127,AK-NW,0.28454731109598375
AK,NW,22.31572,1195.4698,744.79614,AK-NW,0.28454731109598375
AK,NW,22.164396,1195.7643,746.4662,AK-NW,0.28454731109598375
AK,NW,22.256153,1195.813,746.72107,AK-NW,0.28454731109598375
AK,NW,22.271475,1195.7966,749.36426,AK-NW,0.28454731109598375
AK,NW,22.24848,1194.1992,737.282,AK-NW,0.28454731109598375
AK,NW,22.234894,1195.1997,743.7219,AK-NW,0.28454731109598375
AK,NW,22.232218,1195.7518,747.75354,AK-NW,0.28454731109598375
AK,NW,22.44167,1195.9712,749.64734,AK-NW,0.28454731109598375
AK,NW,22.227167,1195.5981,747.9253,AK-NW,0.28454731109598375
AK,NW,22.147953,1195.9175,748.7105,AK-NW,0.28454731109598375
AK,NW,22.322235,1195.8184,747.93994,AK-NW,0.28454731109598375
AK,NW,22.35492,1195.784,747.21423,AK-NW,0.28454731109598375
AK,NW,22.305096,1195.5685,743.51904,AK-NW,0.28454731109598375
AK,NW,22.139261,1195.4331,745.0143,AK-NW,0.28454731109598375
AK,NW,22.203264,1195.8293,750.0166,AK-NW,0.28454731109598375
AK,NW,22.238945,1195.5481,745.78534,AK-NW,0.28454731109598375
AK,NW,22.217754,1195.95,747.9973,AK-NW,0.28454731109598375
AK,NW,22.228916,1196.0642,751.74585,AK-NW,0.28454731109598375
AK,NW,22.285824,1195.2919,744.4282,AK-NW,0.28454731109598375
AK,NW,22.169077,1195.3986,747.04333,AK-NW,0.28454731109598375
AK,NW,22.18819,1195.2437,745.21533,AK-NW,0.28454731109598375
AK,NW,22.23305,1195.3048,744.66113,AK-NW,0.28454731109598375
AK,NW,22.45717,1195.726,747.18445,AK-NW,0.28454731109598375
AK,NW,22.296076,1195.8969,749.214,AK-NW,0.28454731109598375
AK,OH (1),16.419754,1213.3768,658.9377,AK-OH (1),1.0
